icd_code,count,long_title
4B02XTZ,161,"Measurement of Cardiac Defibrillator, External Approach"
0W9F30Z,150,"Drainage of Abdominal Wall with Drainage Device, Percutaneous Approach"
0VT08ZZ,25,"Resection of Prostate, Via Natural or Artificial Opening Endoscopic"
3768,68,Insertion of percutaneous external heart assist device
9744,139,Nonoperative removal of heart assist system
9955,138,Prophylactic administration of vaccine against other diseases
0SRC0JA,42,"Replacement of Right Knee Joint with Synthetic Substitute, Uncemented, Open Approach"
240,36,Incision of gum or alveolar bone
037L3DZ,72,"Dilation of Left Internal Carotid Artery with Intraluminal Device, Percutaneous Approach"
3E053PZ,5,"Introduction of Platelet Inhibitor into Peripheral Artery, Percutaneous Approach"
0TB04ZZ,66,"Excision of Right Kidney, Percutaneous Endoscopic Approach"
0GT34ZZ,37,"Resection of Right Adrenal Gland, Percutaneous Endoscopic Approach"
0FN04ZZ,23,"Release Liver, Percutaneous Endoscopic Approach"
3511,51,Open heart valvuloplasty of aortic valve without replacement
7674,81,Open reduction of maxillary fracture
9312,109,Other active musculoskeletal exercise
06BP0ZZ,200,"Excision of Right Saphenous Vein, Open Approach"
5351,270,Incisional hernia repair
3174,79,Revision of tracheostomy
9815,118,Removal of intraluminal foreign body from trachea and bronchus without incision
315,98,Local excision or destruction of lesion or tissue of trachea
3391,179,Bronchial dilation
8165,51,Percutaneous vertebroplasty
02NN0ZZ,13,"Release Pericardium, Open Approach"
0UQGXZZ,94,"Repair Vagina, External Approach"
00N70ZZ,3,"Release Cerebral Hemisphere, Open Approach"
00U207Z,113,"Supplement Dura Mater with Autologous Tissue Substitute, Open Approach"
0LQ80ZZ,66,"Repair Left Hand Tendon, Open Approach"
01U607Z,10,"Supplement Radial Nerve with Autologous Tissue Substitute, Open Approach"
03QF0ZZ,10,"Repair Left Hand Artery, Open Approach"
8879,327,Other diagnostic ultrasound
0BNF4ZZ,21,"Release Right Lower Lung Lobe, Percutaneous Endoscopic Approach"
0WC94ZZ,18,"Extirpation of Matter from Right Pleural Cavity, Percutaneous Endoscopic Approach"
0FT10ZZ,53,"Resection of Right Lobe Liver, Open Approach"
0BBT0ZZ,34,"Excision of Diaphragm, Open Approach"
0GQ30ZZ,1,"Repair Right Adrenal Gland, Open Approach"
8076,302,"Synovectomy, knee"
7752,13,Bunionectomy with soft tissue correction and arthrodesis
8302,55,Myotomy
0RG1070,42,"Fusion of Cervical Vertebral Joint with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach"
0JQ10ZZ,44,"Repair Face Subcutaneous Tissue and Fascia, Open Approach"
4876,25,Other proctopexy
7679,206,Other open reduction of facial fracture
7692,157,Insertion of synthetic implant in facial bone
0881,215,Linear repair of laceration of eyelid or eyebrow
9502,1,Comprehensive eye examination
3922,36,Aorta-subclavian-carotid bypass
D90F1ZZ,4,Beam Radiation of Oropharynx using Photons 1 - 10 MeV
0JC60ZZ,34,"Extirpation of Matter from Chest Subcutaneous Tissue and Fascia, Open Approach"
B31CYZZ,76,Fluoroscopy of Bilateral External Carotid Arteries using Other Contrast
0BC38ZZ,177,"Extirpation of Matter from Right Main Bronchus, Via Natural or Artificial Opening Endoscopic"
0BC48ZZ,65,"Extirpation of Matter from Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic"
0BC58ZZ,68,"Extirpation of Matter from Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic"
0BC68ZZ,111,"Extirpation of Matter from Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic"
0RSJXZZ,29,"Reposition Right Shoulder Joint, External Approach"
30243Y3,68,"Transfusion of Allogeneic Unrelated Hematopoietic Stem Cells into Central Vein, Percutaneous Approach"
02PY33Z,127,"Removal of Infusion Device from Great Vessel, Percutaneous Approach"
3732,10,Excision of aneurysm of heart
0FBD0ZZ,1,"Excision of Pancreatic Duct, Open Approach"
0F174ZB,2,"Bypass Common Hepatic Duct to Small Intestine, Percutaneous Endoscopic Approach"
0F5D0ZZ,1,"Destruction of Pancreatic Duct, Open Approach"
BF111ZZ,41,Fluoroscopy of Biliary and Pancreatic Ducts using Low Osmolar Contrast
0F9930Z,440,"Drainage of Common Bile Duct with Drainage Device, Percutaneous Approach"
0FJD8ZZ,77,"Inspection of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic"
0UB10ZX,6,"Excision of Left Ovary, Open Approach, Diagnostic"
0DBW0ZZ,142,"Excision of Peritoneum, Open Approach"
0UBF0ZZ,23,"Excision of Cul-de-sac, Open Approach"
0DBB0ZX,4,"Excision of Ileum, Open Approach, Diagnostic"
5911,7,Other lysis of perivesical adhesions
0YU50JZ,61,"Supplement Right Inguinal Region with Synthetic Substitute, Open Approach"
1682,7,Repair of rupture of eyeball
3533,216,Annuloplasty
7904,24,"Closed reduction of fracture without internal fixation, phalanges of hand"
057F3DZ,15,"Dilation of Left Cephalic Vein with Intraluminal Device, Percutaneous Approach"
0Y6P0Z1,66,"Detachment at Right 1st Toe, High, Open Approach"
057F3Z1,2,"Dilation of Left Cephalic Vein using Drug-Coated Balloon, Percutaneous Approach"
05CF3ZZ,31,"Extirpation of Matter from Left Cephalic Vein, Percutaneous Approach"
03C83ZZ,31,"Extirpation of Matter from Left Brachial Artery, Percutaneous Approach"
03783ZZ,40,"Dilation of Left Brachial Artery, Percutaneous Approach"
0HBLXZZ,44,"Excision of Left Lower Leg Skin, External Approach"
0V9S3ZZ,4,"Drainage of Penis, Percutaneous Approach"
3E0N3GC,4,"Introduction of Other Therapeutic Substance into Male Reproductive, Percutaneous Approach"
7922,5,"Open reduction of fracture without internal fixation, radius and ulna"
7813,57,"Application of external fixator device, radius and ulna"
6851,127,Laparoscopically assisted vaginal hysterectomy (LAVH)
0HB7XZZ,143,"Excision of Abdomen Skin, External Approach"
04CN0ZZ,56,"Extirpation of Matter from Left Popliteal Artery, Open Approach"
0SR903A,22,"Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Uncemented, Open Approach"
5492,30,Removal of foreign body from peritoneal cavity
03VG0CZ,178,"Restriction of Intracranial Artery with Extraluminal Device, Open Approach"
04V43DZ,71,"Restriction of Splenic Artery with Intraluminal Device, Percutaneous Approach"
0NSR04Z,56,"Reposition Maxilla with Internal Fixation Device, Open Approach"
0NSB04Z,19,"Reposition Nasal Bone with Internal Fixation Device, Open Approach"
0CQ1XZZ,31,"Repair Lower Lip, External Approach"
0CQ0XZZ,28,"Repair Upper Lip, External Approach"
3E0S33Z,12,"Introduction of Anti-inflammatory into Epidural Space, Percutaneous Approach"
3E0S3BZ,13,"Introduction of Anesthetic Agent into Epidural Space, Percutaneous Approach"
5341,111,Other and open repair of umbilical hernia with graft or prosthesis
3E0E7GC,74,"Introduction of Other Therapeutic Substance into Products of Conception, Via Natural or Artificial Opening"
2Y41X5Z,201,Packing of Nasal Region using Packing Material
4413,200,Other gastroscopy
00B20ZZ,60,"Excision of Dura Mater, Open Approach"
037K3ZZ,17,"Dilation of Right Internal Carotid Artery, Percutaneous Approach"
3E01305,52,"Introduction of Other Antineoplastic into Subcutaneous Tissue, Percutaneous Approach"
4502,46,Other incision of small intestine
4675,64,Suture of laceration of large intestine
4591,242,Small-to-small intestinal anastomosis
5461,35,Reclosure of postoperative disruption of abdominal wall
3949,550,Other revision of vascular procedure
5013,140,Transjugular liver biopsy
8762,20,Upper GI series
8761,8,Barium swallow
8763,5,Small bowel series
4514,165,Closed [endoscopic] biopsy of small intestine
0JBN0ZZ,126,"Excision of Right Lower Leg Subcutaneous Tissue and Fascia, Open Approach"
7807,95,"Bone graft, tibia and fibula"
7775,27,"Excision of bone for graft, femur"
7926,17,"Open reduction of fracture without internal fixation, tibia and fibula"
7966,377,"Debridement of open fracture site, tibia and fibula"
7857,92,"Internal fixation of bone without fracture reduction, tibia and fibula"
7787,23,"Other partial ostectomy, tibia and fibula"
4575,192,Open and other left hemicolectomy
0052,22,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
4519,89,Other diagnostic procedures on small intestine
3942,220,Revision of arteriovenous shunt for renal dialysis
8867,207,Phlebography of other specified sites using contrast material
3143,26,Closed [endoscopic] biopsy of larynx
245,21,Alveoloplasty
0Y9H0ZZ,7,"Drainage of Right Lower Leg, Open Approach"
0KXS0Z0,3,"Transfer Right Lower Leg Muscle with Skin, Open Approach"
0QSG3CZ,3,"Reposition Right Tibia with Ring External Fixation Device, Percutaneous Approach"
0QSL05Z,2,"Reposition Right Tarsal with External Fixation Device, Open Approach"
0J8N0ZZ,17,"Division of Right Lower Leg Subcutaneous Tissue and Fascia, Open Approach"
0Q8G0ZZ,3,"Division of Right Tibia, Open Approach"
0KXS0ZZ,39,"Transfer Right Lower Leg Muscle, Open Approach"
0SHF08Z,13,"Insertion of Spacer into Right Ankle Joint, Open Approach"
0PS5XZZ,1,"Reposition Right Scapula, External Approach"
0QHG04Z,18,"Insertion of Internal Fixation Device into Right Tibia, Open Approach"
0QUG07Z,20,"Supplement Right Tibia with Autologous Tissue Substitute, Open Approach"
0QB20ZZ,75,"Excision of Right Pelvic Bone, Open Approach"
0QWG04Z,3,"Revision of Internal Fixation Device in Right Tibia, Open Approach"
0QWG05Z,3,"Revision of External Fixation Device in Right Tibia, Open Approach"
0Q8J0ZZ,4,"Division of Right Fibula, Open Approach"
0W9M30Z,6,"Drainage of Male Perineum with Drainage Device, Percutaneous Approach"
0DQE0ZZ,25,"Repair Large Intestine, Open Approach"
0WBF0ZZ,100,"Excision of Abdominal Wall, Open Approach"
0W9H3ZX,16,"Drainage of Retroperitoneum, Percutaneous Approach, Diagnostic"
0B9N3ZZ,3,"Drainage of Right Pleura, Percutaneous Approach"
6712,20,Other cervical biopsy
4673,164,"Suture of laceration of small intestine, except duodenum"
7761,142,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]"
8091,7,"Other excision of joint, shoulder"
7781,78,"Other partial ostectomy, scapula, clavicle, and thorax [ribs and sternum]"
5143,39,Insertion of choledochohepatic tube for decompression
346,78,Scarification of pleura
3421,118,Transpleural thoracoscopy
8543,191,Unilateral extended simple mastectomy
8521,64,Local excision of lesion of breast
0RRK00Z,86,"Replacement of Left Shoulder Joint with Reverse Ball and Socket Synthetic Substitute, Open Approach"
0RRJ00Z,98,"Replacement of Right Shoulder Joint with Reverse Ball and Socket Synthetic Substitute, Open Approach"
B2131ZZ,210,Fluoroscopy of Multiple Coronary Artery Bypass Grafts using Low Osmolar Contrast
02PYX3Z,275,"Removal of Infusion Device from Great Vessel, External Approach"
0FB40ZZ,49,"Excision of Gallbladder, Open Approach"
0B9N00Z,5,"Drainage of Right Pleura with Drainage Device, Open Approach"
0JHL3XZ,9,"Insertion of Tunneled Vascular Access Device into Right Upper Leg Subcutaneous Tissue and Fascia, Percutaneous Approach"
0SR904Z,75,"Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Open Approach"
06BP3ZZ,29,"Excision of Right Saphenous Vein, Percutaneous Approach"
3E0F7SD,11,"Introduction of Nitric Oxide Gas into Respiratory Tract, Via Natural or Artificial Opening"
8364,164,Other suture of tendon
7971,60,Closed reduction of dislocation of shoulder
0RG7071,185,"Fusion of 2 to 7 Thoracic Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach"
3459,21,Other excision of pleura
0NR607Z,4,"Replacement of Left Temporal Bone with Autologous Tissue Substitute, Open Approach"
4A10X4G,68,"Monitoring of Central Nervous Electrical Activity, Intraoperative, External Approach"
00BX0ZZ,59,"Excision of Thoracic Spinal Cord, Open Approach"
02F03ZZ,24,"Fragmentation in Coronary Artery, One Artery, Percutaneous Approach"
B240ZZ3,184,"Ultrasonography of Single Coronary Artery, Intravascular"
027036Z,73,"Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
0PU40KZ,4,"Supplement Thoracic Vertebra with Nonautologous Tissue Substitute, Open Approach"
0PP404Z,30,"Removal of Internal Fixation Device from Thoracic Vertebra, Open Approach"
0RG70A1,5,"Fusion of 2 to 7 Thoracic Vertebral Joints with Interbody Fusion Device, Posterior Approach, Posterior Column, Open Approach"
0PS40ZZ,18,"Reposition Thoracic Vertebra, Open Approach"
0NR507Z,4,"Replacement of Right Temporal Bone with Autologous Tissue Substitute, Open Approach"
00N00ZZ,133,"Release Brain, Open Approach"
03L70ZZ,6,"Occlusion of Right Brachial Artery, Open Approach"
4652,175,Closure of stoma of large intestine
4642,72,Repair of pericolostomy hernia
6269,6,Other repair of testis
03CY0ZZ,7,"Extirpation of Matter from Upper Artery, Open Approach"
03BY0ZZ,5,"Excision of Upper Artery, Open Approach"
3749,73,Other repair of heart and pericardium
8138,49,"Refusion of lumbar and lumbosacral spine, anterior column, posterior technique"
3571,94,Other and unspecified repair of atrial septal defect
5A09457,83,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Positive Airway Pressure"
0Y6C0Z1,14,"Detachment at Right Upper Leg, High, Open Approach"
3E0G805,1,"Introduction of Other Antineoplastic into Upper GI, Via Natural or Artificial Opening Endoscopic"
0QP604Z,51,"Removal of Internal Fixation Device from Right Upper Femur, Open Approach"
00B73ZX,94,"Excision of Cerebral Hemisphere, Percutaneous Approach, Diagnostic"
5A02110,9,"Assistance with Cardiac Output using Balloon Pump, Intermittent"
3E043PZ,3,"Introduction of Platelet Inhibitor into Central Vein, Percutaneous Approach"
0QSH06Z,89,"Reposition Left Tibia with Intramedullary Internal Fixation Device, Open Approach"
0PSDXZZ,19,"Reposition Left Humeral Head, External Approach"
0BTC0ZZ,60,"Resection of Right Upper Lung Lobe, Open Approach"
0BU407Z,11,"Supplement Right Upper Lobe Bronchus with Autologous Tissue Substitute, Open Approach"
1723,11,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis"
5331,3,Bilateral repair of femoral hernia with graft or prosthesis
0SRR0JZ,45,"Replacement of Right Hip Joint, Femoral Surface with Synthetic Substitute, Open Approach"
8257,10,Other hand tendon transposition
8232,7,Excision of tendon of hand for graft
8043,3,"Division of joint capsule, ligament, or cartilage, wrist"
8944,70,Other cardiovascular stress test
0JPVXXZ,1,"Removal of Tunneled Vascular Access Device from Upper Extremity Subcutaneous Tissue and Fascia, External Approach"
02H63KZ,213,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Approach"
7747,91,"Biopsy of bone, tibia and fibula"
8671,8,Cutting and preparation of pedicle grafts or flaps
7737,16,"Other division of bone, tibia and fibula"
8182,8,Repair of recurrent dislocation of shoulder
8081,122,"Other local excision or destruction of lesion of joint, shoulder"
3229,79,Other local excision or destruction of lesion or tissue of lung
DP061ZZ,32,Beam Radiation of Humerus using Photons 1 - 10 MeV
DP081ZZ,106,Beam Radiation of Pelvic Bones using Photons 1 - 10 MeV
02HR33Z,13,"Insertion of Infusion Device into Left Pulmonary Artery, Percutaneous Approach"
02HQ33Z,12,"Insertion of Infusion Device into Right Pulmonary Artery, Percutaneous Approach"
2W3DX1Z,9,Immobilization of Left Lower Arm using Splint
BD24ZZZ,4,Computerized Tomography (CT Scan) of Colon
0Y9C3ZZ,5,"Drainage of Right Upper Leg, Percutaneous Approach"
0BNC4ZZ,9,"Release Right Upper Lung Lobe, Percutaneous Endoscopic Approach"
0WBC0ZZ,20,"Excision of Mediastinum, Open Approach"
8375,72,Tendon transfer or transplantation
0479,60,Other neuroplasty
0F9G40Z,14,"Drainage of Pancreas with Drainage Device, Percutaneous Endoscopic Approach"
4104,197,Autologous hematopoietic stem cell transplant without purging
3224,23,Percutaneous ablation of lung lesion or tissue
0B718ZZ,152,"Dilation of Trachea, Via Natural or Artificial Opening Endoscopic"
0BW18FZ,43,"Revision of Tracheostomy Device in Trachea, Via Natural or Artificial Opening Endoscopic"
0B918ZZ,132,"Drainage of Trachea, Via Natural or Artificial Opening Endoscopic"
0BW1XFZ,14,"Revision of Tracheostomy Device in Trachea, External Approach"
0B518ZZ,80,"Destruction of Trachea, Via Natural or Artificial Opening Endoscopic"
0B9B8ZZ,71,"Drainage of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic"
3E0F83Z,66,"Introduction of Anti-inflammatory into Respiratory Tract, Via Natural or Artificial Opening Endoscopic"
BF121ZZ,4,Fluoroscopy of Gallbladder using Low Osmolar Contrast
BF13YZZ,142,Fluoroscopy of Gallbladder and Bile Ducts using Other Contrast
5462,155,Delayed closure of granulating abdominal wound
8036,50,"Biopsy of joint structure, knee"
0D1M4Z4,20,"Bypass Descending Colon to Cutaneous, Percutaneous Endoscopic Approach"
07978ZX,26,"Drainage of Thorax Lymphatic, Via Natural or Artificial Opening Endoscopic Approach, Diagnostic"
0QS836Z,18,"Reposition Right Femoral Shaft with Intramedullary Internal Fixation Device, Percutaneous Approach"
8133,32,"Refusion of other cervical spine, posterior column, posterior technique"
8460,3,"Insertion of spinal disc prosthesis, not otherwise specified"
0F914ZX,1,"Drainage of Right Lobe Liver, Percutaneous Endoscopic Approach, Diagnostic"
5A19054,2,"Respiratory Ventilation, Single, Nonmechanical"
9356,157,Application of pressure dressing
8319,29,Other division of soft tissue
8075,20,"Synovectomy, hip"
DB021ZZ,153,Beam Radiation of Lung using Photons 1 - 10 MeV
D0001ZZ,320,Beam Radiation of Brain using Photons 1 - 10 MeV
0JDR0ZZ,54,"Extraction of Left Foot Subcutaneous Tissue and Fascia, Open Approach"
0YQN0ZZ,2,"Repair Left Foot, Open Approach"
0722,117,Unilateral adrenalectomy
0JH604Z,124,"Insertion of Pacemaker, Single Chamber into Chest Subcutaneous Tissue and Fascia, Open Approach"
9783,3,Removal of abdominal wall sutures
4610,171,"Colostomy, not otherwise specified"
B31F1ZZ,61,Fluoroscopy of Left Vertebral Artery using Low Osmolar Contrast
0W3Q7ZZ,5,"Control Bleeding in Respiratory Tract, Via Natural or Artificial Opening"
B2101ZZ,44,Fluoroscopy of Single Coronary Artery using Low Osmolar Contrast
0BBC4ZX,70,"Excision of Right Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic"
0BBF4ZX,77,"Excision of Right Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic"
05BA4ZZ,8,"Excision of Left Brachial Vein, Percutaneous Endoscopic Approach"
5504,82,Percutaneous nephrostomy with fragmentation
8772,6,Other nephrotomogram
586,93,Dilation of urethra
0HRMX74,46,"Replacement of Right Foot Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0QHL35Z,9,"Insertion of External Fixation Device into Right Tarsal, Percutaneous Approach"
0HBJXZZ,292,"Excision of Left Upper Leg Skin, External Approach"
0HRMXK3,24,"Replacement of Right Foot Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
05PYX3Z,121,"Removal of Infusion Device from Upper Vein, External Approach"
BT1DZZZ,23,"Fluoroscopy of Right Kidney, Ureter and Bladder"
0KNB0ZZ,27,"Release Left Lower Arm and Wrist Muscle, Open Approach"
0JXK0ZB,2,"Transfer Left Hand Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
01N50ZZ,119,"Release Median Nerve, Open Approach"
01N40ZZ,45,"Release Ulnar Nerve, Open Approach"
0JBH0ZZ,71,"Excision of Left Lower Arm Subcutaneous Tissue and Fascia, Open Approach"
0JBK0ZZ,29,"Excision of Left Hand Subcutaneous Tissue and Fascia, Open Approach"
0KBD0ZZ,14,"Excision of Left Hand Muscle, Open Approach"
0KBB0ZZ,43,"Excision of Left Lower Arm and Wrist Muscle, Open Approach"
00B00ZX,67,"Excision of Brain, Open Approach, Diagnostic"
0QSC04Z,147,"Reposition Left Lower Femur with Internal Fixation Device, Open Approach"
7171,34,Suture of laceration of vulva or perineum
5521,13,Nephroscopy
9761,56,Removal of pyelostomy and nephrostomy tube
0J990ZZ,32,"Drainage of Buttock Subcutaneous Tissue and Fascia, Open Approach"
0J9F0ZZ,15,"Drainage of Left Upper Arm Subcutaneous Tissue and Fascia, Open Approach"
0J9M0ZZ,34,"Drainage of Left Upper Leg Subcutaneous Tissue and Fascia, Open Approach"
0DSM0ZZ,21,"Reposition Descending Colon, Open Approach"
0PB00ZZ,111,"Excision of Sternum, Open Approach"
0PH000Z,21,"Insertion of Rigid Plate Internal Fixation Device into Sternum, Open Approach"
0KXJ0ZZ,87,"Transfer Left Thorax Muscle, Open Approach"
0KXH0ZZ,86,"Transfer Right Thorax Muscle, Open Approach"
0PP004Z,36,"Removal of Internal Fixation Device from Sternum, Open Approach"
0BB10ZX,2,"Excision of Trachea, Open Approach, Diagnostic"
07B20ZX,38,"Excision of Left Neck Lymphatic, Open Approach, Diagnostic"
0HX4XZZ,31,"Transfer Neck Skin, External Approach"
0BBN0ZZ,6,"Excision of Right Pleura, Open Approach"
0BNK4ZZ,46,"Release Right Lung, Percutaneous Endoscopic Approach"
3199,164,Other operations on trachea
343,30,Excision or destruction of lesion or tissue of mediastinum
3425,35,Closed [percutaneous] [needle] biopsy of mediastinum
8193,21,Suture of capsule or ligament of upper extremity
0Y6H0Z3,60,"Detachment at Right Lower Leg, Low, Open Approach"
04JY0ZZ,18,"Inspection of Lower Artery, Open Approach"
06JY0ZZ,8,"Inspection of Lower Vein, Open Approach"
04HH33Z,3,"Insertion of Infusion Device into Right External Iliac Artery, Percutaneous Approach"
0Y6C0Z3,45,"Detachment at Right Upper Leg, Low, Open Approach"
8494,11,Insertion of sternal fixation device with rigid plates
7969,16,"Debridement of open fracture site, other specified bone"
9743,1,Removal of sutures from thorax
0083,6,"Revision of knee replacement, patellar component"
0SG10A0,133,"Fusion of 2 or more Lumbar Vertebral Joints with Interbody Fusion Device, Anterior Approach, Anterior Column, Open Approach"
3798,41,Replacement of automatic cardioverter/defibrillator pulse generator only
0RG20K0,41,"Fusion of 2 or more Cervical Vertebral Joints with Nonautologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach"
00PU0MZ,14,"Removal of Neurostimulator Lead from Spinal Canal, Open Approach"
0SG00A1,20,"Fusion of Lumbar Vertebral Joint with Interbody Fusion Device, Posterior Approach, Posterior Column, Open Approach"
4875,35,Abdominal proctopexy
0694,6,Thyroid tissue reimplantation
8046,70,"Division of joint capsule, ligament, or cartilage, knee"
8388,186,Other plastic operations on tendon
7816,4,"Application of external fixator device, patella"
8683,297,Size reduction plastic operation
7866,26,"Removal of implanted devices from bone, patella"
0B9K8ZX,74,"Drainage of Right Lung, Via Natural or Artificial Opening Endoscopic, Diagnostic"
09Q1XZZ,8,"Repair Left External Ear, External Approach"
0KQ10ZZ,39,"Repair Facial Muscle, Open Approach"
0HQBXZZ,5,"Repair Right Upper Arm Skin, External Approach"
0T7C8DZ,2,"Dilation of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
2611,9,Closed [needle] biopsy of salivary gland or duct
3E0T3TZ,53,"Introduction of Destructive Agent into Peripheral Nerves and Plexi, Percutaneous Approach"
BD47ZZZ,38,Ultrasonography of Gastrointestinal Tract
3816,60,"Endarterectomy, abdominal arteries"
3818,355,"Endarterectomy, lower limb arteries"
0M943ZZ,1,"Drainage of Left Elbow Bursa and Ligament, Percutaneous Approach"
0SRB03Z,5,"Replacement of Left Hip Joint with Ceramic Synthetic Substitute, Open Approach"
0DBA0ZZ,267,"Excision of Jejunum, Open Approach"
0FB70ZZ,10,"Excision of Common Hepatic Duct, Open Approach"
0FB70ZX,6,"Excision of Common Hepatic Duct, Open Approach, Diagnostic"
0DQA0ZZ,38,"Repair Jejunum, Open Approach"
05BM0ZZ,28,"Excision of Right Internal Jugular Vein, Open Approach"
06R507Z,12,"Replacement of Superior Mesenteric Vein with Autologous Tissue Substitute, Open Approach"
9623,21,Dilation of anal sphincter
0RP604Z,18,"Removal of Internal Fixation Device from Thoracic Vertebral Joint, Open Approach"
3932,130,Suture of vein
0D578ZZ,25,"Destruction of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic"
06C63ZZ,2,"Extirpation of Matter from Inferior Mesenteric Vein, Percutaneous Approach"
06C13ZZ,47,"Extirpation of Matter from Splenic Vein, Percutaneous Approach"
06V63DZ,6,"Restriction of Inferior Mesenteric Vein with Intraluminal Device, Percutaneous Approach"
06V73DZ,2,"Restriction of Colic Vein with Intraluminal Device, Percutaneous Approach"
06VY4DZ,1,"Restriction of Lower Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
06H533Z,26,"Insertion of Infusion Device into Superior Mesenteric Vein, Percutaneous Approach"
06WY3DZ,79,"Revision of Intraluminal Device in Lower Vein, Percutaneous Approach"
06L34CZ,138,"Occlusion of Esophageal Vein with Extraluminal Device, Percutaneous Endoscopic Approach"
0HRT07Z,5,"Replacement of Right Breast with Autologous Tissue Substitute, Open Approach"
0HPT0NZ,62,"Removal of Tissue Expander from Right Breast, Open Approach"
0KXF0Z5,24,"Transfer Right Trunk Muscle, Latissimus Dorsi Myocutaneous Flap, Open Approach"
0015,453,High-dose infusion interleukin-2 [IL-2]
0SR902A,24,"Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach"
0VT90ZZ,11,"Resection of Right Testis, Open Approach"
0VB50ZZ,41,"Excision of Scrotum, Open Approach"
0JDB0ZZ,26,"Extraction of Perineum Subcutaneous Tissue and Fascia, Open Approach"
0JXB0ZZ,8,"Transfer Perineum Subcutaneous Tissue and Fascia, Open Approach"
0JQB0ZZ,7,"Repair Perineum Subcutaneous Tissue and Fascia, Open Approach"
0JXB0ZB,5,"Transfer Perineum Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0VQ50ZZ,4,"Repair Scrotum, Open Approach"
526,13,Total pancreatectomy
4281,81,Insertion of permanent tube into esophagus
445,27,Revision of gastric anastomosis
4222,1,Esophagoscopy through artificial stoma
9818,2,Removal of intraluminal foreign body from artificial stoma without incision
543,214,Excision or destruction of lesion or tissue of abdominal wall or umbilicus
0QS706Z,179,"Reposition Left Upper Femur with Intramedullary Internal Fixation Device, Open Approach"
5652,11,Revision of cutaneous uretero-ileostomy
5472,80,Other repair of abdominal wall
5783,38,Repair of fistula involving bladder and intestine
041L09P,7,"Bypass Left Femoral Artery to Foot Artery with Autologous Venous Tissue, Open Approach"
0H9KXZZ,30,"Drainage of Right Lower Leg Skin, External Approach"
047Y3ZZ,17,"Dilation of Lower Artery, Percutaneous Approach"
05HN33Z,155,"Insertion of Infusion Device into Left Internal Jugular Vein, Percutaneous Approach"
0Y6J0Z3,48,"Detachment at Left Lower Leg, Low, Open Approach"
0KBT0ZZ,128,"Excision of Left Lower Leg Muscle, Open Approach"
04CH0ZZ,44,"Extirpation of Matter from Right External Iliac Artery, Open Approach"
04UH0KZ,18,"Supplement Right External Iliac Artery with Nonautologous Tissue Substitute, Open Approach"
041K09Q,10,"Bypass Right Femoral Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach"
0RG60J1,1,"Fusion of Thoracic Vertebral Joint with Synthetic Substitute, Posterior Approach, Posterior Column, Open Approach"
0RGA0J1,3,"Fusion of Thoracolumbar Vertebral Joint with Synthetic Substitute, Posterior Approach, Posterior Column, Open Approach"
0SG10J1,7,"Fusion of 2 or more Lumbar Vertebral Joints with Synthetic Substitute, Posterior Approach, Posterior Column, Open Approach"
8E0W0CZ,129,"Robotic Assisted Procedure of Trunk Region, Open Approach"
0T5B8ZZ,37,"Destruction of Bladder, Via Natural or Artificial Opening Endoscopic"
0TBB8ZX,47,"Excision of Bladder, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0TCB8ZZ,126,"Extirpation of Matter from Bladder, Via Natural or Artificial Opening Endoscopic"
0T7D7ZZ,28,"Dilation of Urethra, Via Natural or Artificial Opening"
0CUS0KZ,1,"Supplement Larynx with Nonautologous Tissue Substitute, Open Approach"
00NY0ZZ,259,"Release Lumbar Spinal Cord, Open Approach"
